nid,n_nid_1,n_nid_2,n_nid_3,n_nid_4,n_nid_5,n_nid_6,n_relation_1,n_relation_2,n_relation_3,n_relation_4,n_relation_5,n_relation_6,age,sex
306004,306003.0,306051.0,306133.0,306147.0,402158.0,403056.0,1.0,9.0,5.0,6.0,5.0,6.0,66.0,1.0
306005,306006.0,307101.0,306073.0,,,,1.0,10.0,10.0,,,,66.0,2.0
306006,306005.0,,,,,,1.0,,,,,,71.0,1.0
306009,,306060.0,306149.0,,,,,9.0,9.0,,,,85.0,2.0
306010,,400422.0,400424.0,403045.0,,,,5.0,5.0,6.0,,,66.0,2.0
306012,,,,,,,,,,,,,76.0,2.0
306013,306014.0,307119.0,,,,,1.0,10.0,,,,,73.0,1.0
306014,306013.0,402162.0,402164.0,403252.0,402163.0,403047.0,1.0,11.0,11.0,11.0,11.0,11.0,69.0,2.0
306015,306016.0,,,,,,1.0,,,,,,64.0,2.0
306016,306015.0,,,,,,1.0,,,,,,71.0,1.0
306097,,,,,,,,,,,,,93.0,2.0
306019,,306140.0,306020.0,306070.0,,,,,,,,,84.0,2.0
306020,,306153.0,,,,,,10.0,,,,,85.0,2.0
306021,306022.0,306056.0,,,,,1.0,10.0,,,,,68.0,2.0
306022,306021.0,306016.0,306143.0,306055.0,306145.0,306004.0,1.0,10.0,10.0,10.0,10.0,10.0,70.0,1.0
306023,,400435.0,,,,,,5.0,,,,,76.0,2.0
306099,306023.0,403247.0,403096.0,403264.0,403188.0,,1.0,11.0,11.0,11.0,11.0,,78.0,1.0
306024,,,,,,,,,,,,,85.0,2.0
306025,306026.0,306030.0,306078.0,,,,1.0,10.0,10.0,,,,72.0,2.0
306026,306025.0,306081.0,306053.0,,,,1.0,10.0,10.0,,,,73.0,1.0
306027,,306118.0,,,,,,5.0,,,,,76.0,2.0
306028,306029.0,,,,,,1.0,,,,,,67.0,1.0
306030,306102.0,306031.0,,,,,1.0,9.0,,,,,69.0,2.0
306102,306030.0,,,,,,1.0,,,,,,75.0,1.0
306031,,306090.0,306064.0,306087.0,306129.0,,,9.0,9.0,9.0,10.0,,73.0,2.0
306033,,,,,,,,,,,,,75.0,2.0
306034,,306097.0,,,,,,10.0,,,,,93.0,2.0
306035,,306071.0,306108.0,306080.0,,,,10.0,9.0,10.0,,,73.0,2.0
306036,306037.0,,,,,,1.0,,,,,,75.0,1.0
306037,306036.0,403123.0,,,,,1.0,5.0,,,,,67.0,2.0
306103,306038.0,,,,,,1.0,,,,,,72.0,1.0
306104,,,,,,,,,,,,,76.0,2.0
306041,306042.0,306105.0,306054.0,,,,1.0,10.0,10.0,,,,73.0,2.0
306105,,,,,,,,,,,,,79.0,2.0
306042,306041.0,403277.0,402332.0,402331.0,403275.0,,1.0,5.0,5.0,5.0,5.0,,77.0,1.0
306043,306044.0,306105.0,306031.0,306064.0,306030.0,306060.0,1.0,9.0,10.0,10.0,10.0,10.0,63.0,2.0
306044,306043.0,306152.0,403161.0,306065.0,304020.0,,1.0,12.0,11.0,11.0,10.0,,66.0,1.0
306045,306046.0,,,,,,1.0,,,,,,74.0,2.0
